QueryID,Number,KnessetNum,Name,TypeID,TypeDesc,StatusID,PersonID,GovMinistryID,SubmitDate,ReplyMinisterDate,LastUpdatedDate
2229272,3059.0,25,עיכוב חמור במתן היתרי הובלת חומרים מסוכנים,48,רגילה,6,30843,686,2025-03-23T15:26:21.229,,2025-03-23T15:28:10.183
2229420,3055.0,25,כפיית תכנים פוליטיים על תלמידים בבתי הספר בעיר הרצליה,48,רגילה,6,30833,1004,2025-03-23T15:18:29.866,,2025-03-23T15:19:53.593
2229466,3074.0,25,מעבדות לגילוי עדרים עמידים למחלת הסקרייפי,48,רגילה,9,30558,967,2025-03-26T11:53:16.001,2025-04-30T00:00:00,2025-05-05T09:47:26.267
2229681,2964.0,25,עליה חדה בהרוגים מתאונות הדרכים,50,דחופה,9,23632,686,2025-03-10T12:56:50.987,2025-03-12T00:00:00,2025-03-12T13:29:10.193
2229704,2963.0,25,באופן חסר תקדים ובניגוד מוחלט לסטטוס קוו מהמאה ה-18 עיריית ירושלים מבקשת מהכנסייה הארמנית תשלום מס בסך עשרות מיליוני שקלים,50,דחופה,9,30067,754,2025-03-10T12:45:58.614,2025-03-12T00:00:00,2025-03-12T13:35:40.217
2229725,3056.0,25,סכום הארנונה עבור משרדים ממשלתיים בין נצרת לנוף הגליל,48,רגילה,6,30558,754,2025-03-23T15:20:13.591,,2025-03-23T15:21:57.9
2229726,3068.0,25,התייחסות למצב נפשי בטפסי הרישיון לנשק,48,רגילה,6,30782,1361,2025-03-24T13:01:36.476,,2025-03-24T13:03:10.25
2229748,3105.0,25,"שירות הרכבות לבאר שבע יופסק בערבים ובסופ""ש",48,רגילה,9,30682,686,2025-04-01T14:05:46.004,2025-05-14T00:00:00,2025-05-14T13:04:36.963
2229767,3060.0,25,21 הרוגים מתחילת השנה בתאונות עבודה ,48,רגילה,6,30843,830,2025-03-23T15:34:22.558,,2025-03-23T15:36:15.28
2229787,3057.0,25,תקציב טקס המשואות ה-77 למדינת ישראל 2025,48,רגילה,6,30871,568,2025-03-23T15:22:14.179,,2025-03-23T15:23:40.193
2229861,3069.0,25,הזכות להשכלה,48,רגילה,6,30558,1004,2025-03-24T13:03:21.812,,2025-03-24T13:04:41.843
2229872,3070.0,25,הלאמת פעילות שינוע הגרעינים בנמל אשדוד,48,רגילה,6,30686,922,2025-03-24T13:05:53.473,,2025-03-24T13:07:23.097
2229993,3073.0,25,אכיפת עבירות תנועה חמורות במחוז הנגב,48,רגילה,6,30840,1361,2025-03-26T11:51:13.427,,2025-03-26T11:53:04.11
2230000,3168.0,25,אחוז פענוח תיקי רצח בחברה הערבית,48,רגילה,12,30840,1361,2025-04-06T11:27:38.907,,2025-06-04T09:33:14.71
2230160,3075.0,25,חוסר זכאות לנשק ביישובים דרוזים,48,רגילה,6,30854,1361,2025-03-26T11:58:07.124,,2025-03-26T11:59:41.627
2230161,3076.0,25,  פיקוח על זליגת נשקים אזרחיים לאזרחים וגופים שאינם בעלי רשיון נשק,48,רגילה,6,30854,1361,2025-03-26T11:59:51.762,,2025-03-26T12:02:47.957
2230163,3078.0,25,  עדכונים שטרם פורסמו מטעם משטרת ישראל על פגיעת טיל לאו ברכב משוריין בכפר ג'דידה מכר,48,רגילה,6,30854,1361,2025-03-26T12:06:37.321,,2025-03-26T12:12:21.817
2230166,3079.0,25,  קריטריונים לזכאות לרשיון נשק,48,רגילה,6,30854,1361,2025-03-26T12:12:54.746,,2025-03-26T12:37:13.023
2230169,3080.0,25,קיומה של תכנית בקרה ואכיפת ההשלכות בהנפקת עשרות אלפי רשיונות נשק מתחילת המלחמה,48,רגילה,6,30854,1361,2025-03-26T12:37:44.133,,2025-03-26T12:46:28.267
2230173,3109.0,25,  מדיניות השר להתמודדות מול תופעת הפשיעה בחברה הערבית ,48,רגילה,6,30854,1361,2025-04-01T14:31:06.0375403,,2025-04-01T14:31:06.477
2230174,3110.0,25,  שיטור עירוני בישראל,48,רגילה,6,30854,1361,2025-04-01T15:06:49.66,,2025-04-01T15:13:16.223
2230185,3081.0,25,אי תפקוד הרשות המאשרת ביחס לפניות נפגעי טבח ה-7.10.23,48,רגילה,9,23631,1178,2025-03-26T12:48:51.798,2025-05-22T00:00:00,2025-05-25T12:39:04.843
2230192,3248.0,25,נרצחים בחברה הערבית מתחילת השנה,48,רגילה,12,30854,1361,2025-04-07T13:34:09.533,,2025-06-04T09:32:16.05
2230195,3111.0,25,"שימוש המשטרה במצלמות ע""פ חוק התקנת מצלמות לשם הגנה על פעוטות במעונות יום לפעוטות",48,רגילה,6,30854,1361,2025-04-01T15:13:31.114,,2025-04-01T15:27:12.163
2230198,3112.0,25,   השפעת חלוקת הנשק על אלימות במשפחה,48,רגילה,6,30854,1361,2025-04-01T15:34:24.497,,2025-04-01T15:39:30.803
2230199,3113.0,25,  חוסר ביטחון יישובי בקו התפר במ.א מטה יהודה,48,רגילה,6,30854,1361,2025-04-01T15:39:47.63,,2025-04-01T15:48:22.73
2230200,3114.0,25,התעצמות תופעת הפרוטקשן ,48,רגילה,6,30854,1361,2025-04-01T15:51:25.2032973,,2025-04-01T15:51:28.127
2230232,3082.0,25,צו לתיקון לחברות ציבוריות קטנות ,48,רגילה,6,30672,922,2025-03-26T12:51:57.566,,2025-03-26T12:53:14.277
2230242,3083.0,25,איזור תעשייה בחורה ,48,רגילה,6,30558,922,2025-03-26T12:56:56.035,,2025-03-26T12:58:30.897
2230244,3084.0,25,"סיוע בשכ""ד לזוכי מחיר למשתכן",48,רגילה,9,30672,1146,2025-03-26T12:59:41.986,2025-04-07T00:00:00,2025-04-07T14:31:38.71
2230248,3085.0,25,עדכון תעודות נישואין באזור האישי,48,רגילה,6,30672,1283,2025-03-26T13:01:58.11,,2025-03-26T13:05:38.9
2230249,3086.0,25,אפוסטיל דיגטלי ,48,רגילה,9,30672,876,2025-03-26T13:05:48.994,2025-05-07T00:00:00,2025-05-08T09:51:47.787
2230401,3136.0,25,הלנת שכר שיטתית של מורות בחינוך העצמאי,48,רגילה,6,30807,1237,2025-04-29T11:10:50.5,,2025-04-29T11:13:39.387
2230402,3137.0,25,גביית תרומות מהמורות לעמותת בת של החינוך העצמאי,48,רגילה,6,30807,1237,2025-04-29T10:56:38.46,,2025-04-29T10:58:02.457
2230403,3138.0,25,אי תשלום למורות עבור שעת תפילה של התלמידות,48,רגילה,6,30807,1237,2025-04-29T10:40:47.353,,2025-04-29T10:47:20.057
2230406,3139.0,25,קיום לימודי ליבה במוסדות חינוך חרדיים,48,רגילה,6,30807,1004,2025-04-03T13:29:17.811,,2025-04-03T13:30:46.417
2230407,3141.0,25, הגדרת לימודי ליבה בחינוך החרדי,48,רגילה,6,30807,1004,2025-04-03T13:31:18.549,,2025-04-03T13:33:32.1
2230408,3179.0,25,אופן הביקורת על לימודי ליבה,48,רגילה,9,30807,1004,2025-04-06T12:44:57.084,2025-05-14T00:00:00,2025-05-14T14:20:28.597
2230409,3205.0,25,הפחתת תקצוב למוסדות שאינם מלמדים ליבה,48,רגילה,6,30807,1004,2025-04-06T15:20:58.519,,2025-04-06T15:22:45.067
2230411,3292.0,25,כשירות עובדי הוראה ברשתות החרדיות ובמוסדות הפטור,48,רגילה,6,30807,1004,2025-04-10T10:32:18.812,,2025-04-10T10:33:32.713
2230412,3293.0,25,מעקב משרד החינוך אחר איתנות פיננסית של רשתות חינוך חרדיות,48,רגילה,6,30807,1004,2025-04-10T10:33:42.635,,2025-04-10T10:35:18.16
2230416,3294.0,25,נתונים על כיתות לא תקניות במוסדות החינוך החרדיים,48,רגילה,6,30807,1004,2025-04-10T10:35:27.354,,2025-04-10T10:36:36.83
2230444,3296.0,25,תקצוב פרויקט נר ושם,48,רגילה,6,30852,1004,2025-04-10T10:38:49.880944,,2025-04-10T10:38:50.333
2230445,3344.0,25,סל קליטה לתלמיד יוצא אתיופיה,48,רגילה,6,30852,1004,2025-05-04T09:30:45.447,,2025-05-04T09:32:55.217
2230563,3349.0,25,העלויות האזרחיות של תושבי שטח c באזור שאינם אזרחי ישראל.,48,רגילה,6,30711,1178,2025-05-04T10:52:11.581,,2025-05-05T09:13:12.23
2230564,3350.0,25,הברחות טובין בגבולות מדינת ישראל,48,רגילה,6,30711,1361,2025-05-04T10:55:29.831,,2025-05-04T11:01:39.317
2230655,3351.0,25,היחס בין איחוד משפחות לטרור,48,רגילה,6,30711,876,2025-05-04T11:33:42.97,,2025-05-04T11:47:57.95
2230658,3352.0,25,היחס בין איחוד משפחות לטרור,48,רגילה,6,30711,754,2025-05-04T11:48:49.708,,2025-05-04T12:00:17.99
2230822,3363.0,25,אי-שילוב רופאים מהחברה הערבית במערכת הבריאות,48,רגילה,6,30758,1112,2025-05-04T15:45:42.0986801,,2025-05-04T15:45:42.49
2230833,3364.0,25,ביטוח רכבי אזרחים ישראלים בחברות ביטוח פלסטיניות,48,רגילה,6,30682,1237,2025-05-04T15:49:41.819,,2025-05-04T15:51:43.7
2230883,3365.0,25,השתלמות שופטים במשפט העברי,48,רגילה,6,30121,876,2025-05-05T08:02:47.771,,2025-05-05T08:05:58.803
2230978,3366.0,25,גניבת ציוד צבאי מבסיס שדה תימן,48,רגילה,6,30711,1178,2025-05-05T08:06:21.793,,2025-05-05T08:10:50.53
2231031,3367.0,25,עומס כבד במחסום דיר איסטיה,48,רגילה,6,30719,1178,2025-05-05T08:09:02.011,,2025-05-05T08:10:52.853
2231032,3368.0,25,זיהום אוויר ומפגעי ריח בשל פעילות קצא״א באשקלון ,48,רגילה,6,30719,1332,2025-05-05T08:35:37.037,,2025-05-05T08:41:36.987
2231033,3369.0,25,מחסור חמור במשפחות אומנה ,48,רגילה,9,30719,711,2025-05-05T08:38:46.13,2025-05-20T00:00:00,2025-05-20T12:46:03.693
2231113,3371.0,25,היעדר מיגון בישובים הערביים בצפון הארץ,50,דחופה,9,30106,754,2025-05-07T08:45:25.458,2025-05-14T00:00:00,2025-05-14T13:05:02.783
2231139,3372.0,25,דרישות התשלום העדכניות ביישובים היהודיים בגליל המרכזי,50,דחופה,9,30710,1146,2025-05-05T13:09:52.334,2025-05-07T00:00:00,2025-05-07T13:58:19.353
2231149,3376.0,25,החרגת מוסדות מהקיצוץ בשכר עובדי ההוראה,48,רגילה,6,30776,1237,2025-05-05T22:02:13.356,,2025-05-05T22:06:09.897
2231164,3370.0,25,סכנה בטיחותית חמורה בכביש 7912,48,רגילה,6,30843,686,2025-05-05T11:40:10.185,,2025-05-05T11:43:37.923
2231226,3375.0,25,"  הביטוח הלאומי פועל כבר שנתיים וחצי ללא מנכ""ל בעיצומה של מלחמה וצרכי ציבור שגוברים, על אף קיומה של מועמדת מומלצת ע""י ועדת האיתור",48,רגילה,6,30851,830,2025-05-05T17:58:09.2,,2025-05-05T18:15:36.51
2231260,3393.0,25,העלייה בתאונות הדרכים והמאמצים לצמצומן,50,דחופה,9,12938,686,2025-05-12T12:43:46.561,2025-05-14T00:00:00,2025-05-14T13:05:16.393
2231272,3379.0,25,"היעדר פיקוח ונתונים על אלימות לאומנית שמבוצעת ע""י כיתות כוננות וחיילי הגמ""ר ביהודה ושומרון",48,רגילה,6,30686,1178,2025-05-07T08:04:33.334,,2025-05-07T08:06:34.577
2231314,3381.0,25,התמודדות משרד הבריאות עם התפרצות חצבת.,48,רגילה,6,30758,1112,2025-05-07T14:02:44.0910527,,2025-05-07T14:02:44.53
